iter	Passed	Remaining
421	2196	3007
422	2200	3002
423	2206	2996
424	2211	2992
425	2215	2984
426	2219	2978
427	2224	2972
428	2228	2966
429	2232	2958
430	2236	2953
431	2243	2949
432	2246	2941
433	2250	2935
434	2254	2928
435	2259	2923
436	2263	2916
437	2268	2910
438	2274	2906
439	2277	2898
440	2282	2892
441	2286	2885
442	2289	2879
443	2293	2871
444	2297	2864
445	2300	2857
446	2304	2850
447	2307	2843
448	2312	2837
449	2315	2830
450	2322	2826
451	2325	2819
452	2330	2813
453	2334	2807
454	2338	2800
455	2341	2793
456	2347	2789
457	2355	2787
458	2361	2783
459	2370	2782
460	2374	2776
461	2380	2772
462	2385	2766
463	2390	2760
464	2396	2757
465	2401	2751
466	2406	2746
467	2411	2741
468	2416	2736
469	2421	2730
470	2425	2724
471	2431	2720
472	2436	2714
473	2443	2711
474	2450	2708
475	2453	2701
476	2460	2697
477	2466	2693
478	2470	2687
479	2475	2681
480	2479	2674
481	2482	2668
482	2486	2661
483	2490	2655
484	2494	2648
485	2502	2646
486	2509	2643
487	2514	2638
488	2518	2631
489	2524	2627
490	2527	2620
491	2531	2614
492	2536	2608
493	2542	2604
494	2549	2600
495	2557	2598
496	2563	2594
497	2576	2596
498	2581	2591
499	2587	2587
500	2590	2580
501	2594	2573
502	2599	2568
503	2604	2562
504	2608	2556
505	2611	2549
506	2617	2545
507	2621	2538
508	2625	2532
509	2629	2526
510	2634	2521
511	2638	2515
512	2642	2508
513	2648	2504
514	2652	2497
515	2656	2491
516	2661	2486
517	2665	2480
518	2670	2474
519	2673	2467
520	2680	2464
521	2683	2457
522	2687	2451
523	2691	2444
524	2697	2440
525	2701	2434
526	2704	2427
527	2711	2423
528	2715	2417
529	2718	2411
530	2723	2405
531	2728	2400
532	2733	2394
533	2741	2392
534	2748	2388
535	2755	2385
536	2769	2387
537	2775	2382
538	2782	2379
539	2796	2382
540	2806	2380
541	2811	2376
542	2820	2373
543	2827	2369
544	2831	2363
545	2838	2359
546	2843	2354
547	2852	2352
548	2857	2347
549	2862	2341
550	2868	2337
551	2872	2331
552	2876	2324
553	2883	2321
554	2889	2316
555	2893	2310
556	2900	2306
557	2904	2300
558	2908	2294
559	2915	2290
560	2919	2284
561	2928	2282
562	2938	2281
563	2944	2276
564	2952	2273
565	2956	2267
566	2961	2261
567	2965	2255
568	2969	2248
569	2972	2242
570	2976	2235
571	2980	2229
572	2983	2223
573	2987	2217
574	2990	2210
575	2994	2204
576	2998	2197
577	3001	2191
578	3005	2185
579	3008	2178
580	3012	2172
581	3016	2166
582	3020	2160
583	3023	2153
584	3027	2147
585	3031	2141
586	3034	2135
587	3037	2128
588	3042	2122
589	3045	2116
590	3050	2111
591	3054	2105
592	3058	2099
593	3064	2094
594	3067	2088
595	3074	2083
596	3079	2078
597	3083	2072
598	3089	2068
599	3095	2063
600	3099	2057
601	3104	2052
602	3110	2048
603	3114	2041
604	3121	2038
605	3129	2034
606	3138	2031
607	3147	2029
608	3153	2024
609	3157	2018
610	3161	2012
611	3166	2007
612	3170	2001
613	3175	1996
614	3178	1989
615	3184	1985
616	3188	1978
617	3192	1973
618	3197	1967
619	3202	1962
620	3207	1957
621	3217	1955
622	3220	1948
623	3224	1943
624	3229	1937
625	3233	1932
626	3237	1925
627	3241	1919
628	3246	1914
629	3250	1909
630	3254	1903
631	3259	1897
632	3264	1892
633	3268	1886
634	3272	1881
635	3277	1875
636	3281	1869
637	3284	1863
638	3288	1858
639	3293	1852
640	3297	1847
641	3302	1841
642	3306	1835
643	3311	1830
644	3317	1826
645	3326	1822
646	3332	1818
647	3339	1814
648	3349	1811
649	3353	1805
650	3363	1803
651	3377	1802
652	3389	1801
653	3401	1799
654	3412	1797
655	3436	1802
656	3442	1797
657	3448	1792
658	3452	1786
659	3456	1780
660	3461	1775
661	3466	1769
662	3470	1763
663	3473	1757
664	3479	1752
665	3483	1746
666	3488	1741
667	3496	1737
668	3501	1732
669	3510	1729
670	3517	1724
671	3525	1720
672	3533	1716
673	3539	1711
674	3543	1706
675	3547	1700
676	3553	1695
677	3561	1691
678	3567	1686
679	3574	1682
680	3578	1676
681	3582	1670
682	3587	1665
683	3592	1659
684	3595	1653
685	3599	1647
686	3604	1642
687	3608	1636
688	3612	1630
689	3616	1624
690	3622	1620
691	3627	1614
692	3631	1608
693	3637	1603
694	3641	1598
695	3645	1592
696	3650	1586
697	3654	1581
698	3658	1575
699	3662	1569
700	3667	1564
701	3671	1558
702	3674	1552
703	3678	1546
704	3682	1540
705	3686	1535
706	3690	1529
707	3693	1523
708	3698	1517
709	3702	1512
710	3709	1507
711	3718	1504
712	3724	1499
713	3735	1496
714	3739	1490
715	3743	1484
716	3748	1479
717	3752	1473
718	3756	1468
719	3760	1462
720	3765	1457
721	3769	1451
722	3772	1445
723	3775	1439
724	3779	1433
725	3782	1427
726	3786	1421
727	3789	1416
728	3793	1410
729	3796	1404
730	3800	1398
731	3804	1392
732	3807	1386
733	3811	1381
734	3814	1375
735	3817	1369
736	3822	1364
737	3825	1358
738	3829	1352
739	3833	1346
740	3836	1341
741	3840	1335
742	3844	1329
743	3847	1324
744	3851	1318
745	3854	1312
746	3858	1306
747	3861	1300
748	3865	1295
749	3868	1289
750	3871	1283
751	3875	1278
752	3878	1272
753	3882	1266
754	3885	1260
755	3889	1255
756	3892	1249
757	3898	1244
758	3904	1239
759	3910	1234
760	3915	1229
761	3923	1225
762	3927	1220
763	3931	1214
764	3934	1208
765	3937	1202
766	3943	1197
767	3946	1192
768	3949	1186
769	3953	1180
770	3956	1175
771	3960	1169
772	3963	1164
773	3967	1158
774	3970	1152
775	3973	1147
776	3977	1141
777	3980	1135
778	3984	1130
779	3987	1124
780	3991	1119
781	3994	1113
782	3997	1108
783	4001	1102
784	4004	1096
785	4008	1091
786	4011	1085
787	4015	1080
788	4018	1074
789	4022	1069
790	4025	1063
791	4028	1058
792	4032	1052
793	4035	1047
794	4038	1041
795	4042	1036
796	4045	1030
797	4049	1025
798	4054	1019
799	4058	1014
800	4062	1009
801	4066	1003
802	4071	998
803	4075	993
804	4078	988
805	4082	982
806	4087	977
807	4091	972
808	4099	967
809	4103	962
810	4108	957
811	4114	952
812	4121	948
813	4129	943
814	4132	938
815	4138	933
816	4142	927
817	4147	922
818	4151	917
819	4155	912
820	4159	906
821	4162	901
822	4167	896
823	4170	890
824	4174	885
825	4178	880
826	4182	874
827	4186	869
828	4190	864
829	4193	859
830	4198	853
831	4201	848
832	4206	843
833	4209	837
834	4212	832
835	4216	827
836	4219	821
837	4223	816
838	4226	811
839	4230	805
840	4233	800
841	4237	795
842	4240	789
843	4244	784
844	4247	779
845	4250	773
846	4254	768
847	4257	763
848	4261	757
849	4265	752
850	4269	747
851	4272	742
852	4276	736
853	4280	731
854	4285	726
855	4291	721
856	4295	716
857	4298	711
858	4305	706
859	4312	702
860	4317	697
861	4321	691
862	4327	686
863	4331	681
864	4334	676
865	4337	671
866	4342	666
867	4345	660
868	4349	655
869	4352	650
870	4355	645
871	4360	640
872	4364	634
873	4368	629
874	4373	624
875	4378	619
876	4383	614
877	4386	609
878	4391	604
879	4394	599
880	4398	594
881	4402	588
882	4408	584
883	4413	579
884	4416	573
885	4421	568
886	4425	563
887	4430	558
888	4434	553
889	4438	548
890	4441	543
891	4445	538
892	4449	533
893	4453	528
894	4456	522
895	4461	517
896	4464	512
897	4468	507
898	4472	502
899	4476	497
900	4486	492
901	4498	488
902	4506	484
903	4513	479
904	4517	474
905	4523	469
906	4527	464
907	4531	459
908	4535	454
909	4539	448
910	4543	443
911	4547	438
912	4552	433
913	4555	428
914	4560	423
915	4563	418
916	4568	413
917	4572	408
918	4575	403
919	4579	398
920	4583	393
921	4587	388
922	4591	383
923	4595	377
924	4598	372
925	4612	368
926	4617	363
927	4621	358
928	4625	353
929	4629	348
930	4632	343
931	4636	338
932	4640	333
933	4644	328
934	4647	323
935	4652	318
936	4655	313
937	4659	308
938	4663	302
939	4668	297
940	4677	293
941	4685	288
942	4694	283
943	4706	279
944	4710	274
945	4715	269
946	4719	264
947	4724	259
948	4727	254
949	4732	249
950	4737	244
951	4741	239
952	4746	234
953	4750	229
954	4754	224
955	4760	219
956	4763	214
957	4768	209
958	4772	204
959	4776	199
960	4780	194
961	4785	189
962	4790	184
963	4793	179
964	4797	174
965	4800	168
966	4804	163
967	4808	158
968	4812	153
969	4816	148
970	4819	143
971	4823	138
972	4829	134
973	4833	129
974	4837	124
975	4840	119
976	4845	114
977	4848	109
978	4851	104
979	4856	99
980	4862	94
981	4866	89
982	4873	84
983	4881	79
984	4886	74
985	4890	69
986	4895	64
987	4899	59
988	4903	54
989	4906	49
990	4910	44
991	4914	39
992	4918	34
993	4921	29
994	4925	24
995	4929	19
996	4933	14
997	4937	9
998	4940	4
999	4944	0
